fromTime,pm25_skøyen,skøyen_roll_3h,skøyen_roll_12h,pm25_furulund,furulund_roll_3h,furulund_roll_12h,hour,weekday,is_weekend,month,anomaly_skøyen,anomaly_score_skøyen,anomaly_furulund,anomaly_score_furulund
2023-01-05 00:00:00+0100,0.612781,0.9118743333333335,1.5715905,0.602917,1.2764066666666654,1.69491,0,3,0,1,1.0,0.22709885478307373,1.0,0.1704472729269383
2023-01-05 01:00:00+0100,0.482172,0.7176556666666666,1.4740194166666667,0.505667,0.7129659999999989,1.6221025833333333,1,3,0,1,1.0,0.23113512142734888,1.0,0.1770853759323533
2023-01-05 02:00:00+0100,0.538069,0.5443406666666667,1.37532775,0.575814,0.5614659999999988,1.5767180833333334,2,3,0,1,1.0,0.23586976986882413,1.0,0.18073799266653995
2023-01-05 03:00:00+0100,0.522669,0.5143033333333333,1.2830760833333335,0.385947,0.48914266666666556,1.4471729166666665,3,3,0,1,1.0,0.23802842642467015,1.0,0.17432790288723565
2023-01-05 04:00:00+0100,0.659242,0.5733266666666667,1.2001999166666666,0.264533,0.4087646666666655,1.2994860833333333,4,3,0,1,1.0,0.2452894890799293,1.0,0.16670638552929223
2023-01-05 05:00:00+0100,0.791325,0.6577453333333333,1.1007385833333334,0.280256,0.31024533333333215,1.1470261666666668,5,3,0,1,1.0,0.2530118736692189,1.0,0.1681798217489165
2023-01-05 06:00:00+0100,1.154017,0.8681946666666667,1.0135830833333335,0.343675,0.29615466666666546,1.0050759166666665,6,3,0,1,1.0,0.27246050336367933,1.0,0.1670322890419602
2023-01-05 07:00:00+0100,1.933219,1.2928536666666668,1.0048935,1.322975,0.6489686666666655,0.9477574166666667,7,3,0,1,1.0,0.2770785530213175,1.0,0.19195654976237697
2023-01-05 08:00:00+0100,2.252486,1.7799073333333333,1.0430203333333334,1.490725,1.0524583333333322,0.9009433333333333,8,3,0,1,1.0,0.2866667487678292,1.0,0.20101851635395396
2023-01-05 09:00:00+0100,2.224608,2.136771,1.1077858333333335,2.783356,1.8656853333333323,0.9818473333333332,9,3,0,1,1.0,0.28542321491600875,1.0,0.21526562108112612
2023-01-05 10:00:00+0100,2.150092,2.209062,1.1982245,3.178983,2.4843546666666656,1.0637635,10,3,0,1,1.0,0.28964042396267775,1.0,0.2197541979040088
2023-01-05 11:00:00+0100,2.096367,2.1570223333333334,1.2847539166666666,3.163417,3.0419186666666653,1.2415220833333331,11,3,0,1,1.0,0.2917863982863368,1.0,0.2319150292074209
2023-01-05 12:00:00+0100,2.249678,2.165379,1.421162,3.452347,3.2649156666666657,1.4789745833333334,12,3,0,1,1.0,0.29370610614018644,1.0,0.2289286495428412
2023-01-05 13:00:00+0100,2.853069,2.3997046666666666,1.6187367499999998,3.202358,3.2727073333333316,1.7036988333333334,13,3,0,1,1.0,0.29839773351031207,1.0,0.23901826485161837
2023-01-05 14:00:00+0100,3.300172,2.8009730000000004,1.848912,2.29665,2.983784999999999,1.8471018333333333,14,3,0,1,1.0,0.296294586356061,1.0,0.23701832923314797
2023-01-05 15:00:00+0100,4.098875,3.4173720000000003,2.1469291666666668,3.694928,3.0646453333333326,2.1228502500000004,15,3,0,1,1.0,0.29922665512164415,1.0,0.23924396421525934
2023-01-05 16:00:00+0100,4.821778,4.0736083333333335,2.4938071666666666,3.889683,3.2937536666666656,2.4249460833333334,16,3,0,1,1.0,0.282672477831225,1.0,0.23694425733023544
2023-01-05 17:00:00+0100,5.733303,4.884652,2.9056386666666665,6.523447,4.702685999999999,2.945212,17,3,0,1,1.0,0.2765396472656347,1.0,0.2162691139138594
2023-01-05 18:00:00+0100,9.057767,6.537616,3.5642845,5.466111,5.293080333333331,3.372081666666667,18,3,0,1,1.0,0.2573883387149278,1.0,0.22603194541986854
2023-01-05 19:00:00+0100,11.031222,8.607430666666668,4.3224514166666665,4.845072,5.611543333333333,3.66558975,19,3,0,1,1.0,0.24117094086068286,1.0,0.23118646192575693
2023-01-05 20:00:00+0100,9.751333,9.946774,4.947355333333333,11.034889,7.115357333333332,4.460936749999999,20,3,0,1,1.0,0.23463446362460522,1.0,0.17976233727356195
2023-01-05 21:00:00+0100,8.906681,9.896412,5.50419475,6.163561,7.347840666666666,4.7426205,21,3,0,1,1.0,0.23107600032385311,1.0,0.20856095543128889
2023-01-05 22:00:00+0100,8.314333,8.990782333333334,6.0178815000000005,4.974428,7.390959333333331,4.892240916666666,22,3,0,1,1.0,0.23481426664299576,1.0,0.19866428506159567
2023-01-05 23:00:00+0100,7.074872,8.098628666666666,6.4327569166666665,4.560019,5.232669333333331,5.008624416666667,23,3,0,1,1.0,0.22277679233820402,1.0,0.2067190098301811
2023-01-06 00:00:00+0100,5.824053,7.071086,6.730621499999999,4.195283,4.576576666666665,5.07053575,0,4,0,1,1.0,0.22776693101764062,1.0,0.19687616068732366
2023-01-06 01:00:00+0100,5.100975,5.9999666666666664,6.917947000000001,4.717789,4.491030333333332,5.196821666666667,1,4,0,1,1.0,0.23052513396669116,1.0,0.2075248140329769
2023-01-06 02:00:00+0100,5.207306,5.377444666666666,7.076874833333334,4.038158,4.317076666666665,5.341947333333334,2,4,0,1,1.0,0.2492845413350559,1.0,0.21615344799804276
2023-01-06 03:00:00+0100,5.044603,5.117628,7.1556855,3.895297,4.217081333333332,5.35864475,3,4,0,1,1.0,0.25179606413897015,1.0,0.22234010599813192
2023-01-06 04:00:00+0100,5.380692,5.210867,7.202261666666666,3.436622,3.7900256666666654,5.320889666666667,4,4,0,1,1.0,0.2582078526364763,1.0,0.2262300358466312
2023-01-06 05:00:00+0100,5.338797,5.2546973333333336,7.1693861666666665,2.733886,3.3552683333333317,5.0050929166666664,5,4,0,1,1.0,0.25717783328397625,1.0,0.2163102480214008
2023-01-06 06:00:00+0100,4.231656,4.983714999999999,6.767210249999999,2.386728,2.852411999999999,4.748477666666666,6,4,0,1,1.0,0.2605222966289579,1.0,0.21744915907477402
2023-01-06 07:00:00+0100,4.216464,4.595639,6.199313749999999,2.637822,2.586145333333332,4.564540166666666,7,4,0,1,1.0,0.2671442134596024,1.0,0.22419117212491824
